Strain,ST,ST_to_plot,CG_to_plot,carb_to_plot,Meropenem_MIC,ompK35_functionality,ompK36_functionality,Colistin_resistance,Col,Omp,Omp_simplified,Bla_carb,Bla_carb_simplified
EuSCAPE_IT155,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_LV002,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HU052,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_ES158,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_SK013,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_RO073,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RO079,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HR013,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_PL028,ST11,ST11,CG258,-,0.12,Functional,Functional,Sensitive,MgrB-53%,-,-,-,wt
EuSCAPE_PL031,ST11,ST11,CG258,-,0.12,Functional,Functional,Unknown,MgrB-53%,-,-,-,wt
EuSCAPE_PL036,ST11,ST11,CG258,-,0.12,Functional,Functional,Unknown,MgrB-53%,-,-,-,wt
EuSCAPE_PL060,ST11,ST11,CG258,-,0.12,Functional,Functional,Unknown,MgrB-53%,-,-,-,wt
EuSCAPE_PL040,ST11,ST11,CG258,-,0.25,Functional,Functional,Unknown,MgrB-53%,-,-,-,wt
EuSCAPE_PL038,ST11,ST11,CG258,-,2,Functional,Functional,Unknown,MgrB-53%,-,-,-,wt
EuSCAPE_PL037,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,MgrB-53%,-,-,-,wt
EuSCAPE_TR018,ST110,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT197,ST111,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_GR118,ST111,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_AT015,ST111,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR210,ST111,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_EE022,ST113,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_PL035,ST113,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_BE046,ST1145,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_AT005,ST1148,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR042,ST1193,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR221,ST1193,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_AT020,ST12,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR254,ST1207,other,other,-,0.12,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_GR111,ST1228,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR168,ST1228,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IE018,ST1236,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IE042,ST1236,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_LT008,ST1243,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT360,ST1250,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IL001,ST1269,other,other,-,0.12,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_UK023,ST13,ST13,other,-,0.12,Functional,Functional,Resistant,-,-,-,-,wt
EuSCAPE_IL061,ST13,ST13,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IL082,ST13,ST13,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_ES288,ST13,ST13,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_CY002,ST13,ST13,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IL016,ST133,other,CG133,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT143,ST133,other,CG133,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_CZ012,ST1333,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_DE045,ST1333,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_FR066,ST134,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES281,ST134,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_FR021,ST138,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_CZ010,ST14,ST14,CG14/15,-,0.12,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_FR050,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT215,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT093,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_ES245,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_GR113,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_GR116,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HR101,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS037,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HR062,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IE039,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR282,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR307,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT249,ST1401,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_RO013,ST1408,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IL055,ST1412,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT057,ST1418,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_DE052,ST1456,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_BE032,ST1456,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RO063,ST1469,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RO047,ST147,ST147,CG147,-,0.12,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_FR016,ST147,ST147,CG147,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_FR072,ST147,ST147,CG147,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IL006,ST147,ST147,CG147,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IL054,ST147,ST147,CG147,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HU053,ST147,ST147,CG147,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_ES277,ST147,ST147,CG147,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES278,ST147,ST147,CG147,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_RO041,ST147,ST147,CG147,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RO108,ST147,ST147,CG147,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR302,ST147,ST147,CG147,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT342,ST1471,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_DE044,ST1473,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IE021,ST1478,other,other,-,0.25,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_UK107,ST1478,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_DE080,ST1486,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_BE104,ST1487,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_FR002,ST15,ST15,CG14/15,-,0.12,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT202,ST15,ST15,CG14/15,-,0.12,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_HU042,ST15,ST15,CG14/15,-,0.12,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HU047,ST15,ST15,CG14/15,-,0.12,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RO070,ST15,ST15,CG14/15,-,0.12,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT071,ST15,ST15,CG14/15,-,0.25,Functional,Functional,Resistant,-,-,-,-,wt
EuSCAPE_ES219,ST15,ST15,CG14/15,-,0.25,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IE022,ST15,ST15,CG14/15,-,0.5,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_HR080,ST15,ST15,CG14/15,-,1,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HR039,ST15,ST15,CG14/15,-,2,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR253,ST15,ST15,CG14/15,-,8,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR209,ST15,ST15,CG14/15,-,16,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR252,ST15,ST15,CG14/15,-,16,Functional,Functional,Sensitive,-,-,-,-,wt
