"ST" "mean_vir" "mean_res" "total"
"457" "ST298-1LV" 0 1 1
"458" "ST299" 0 0 1
"459" "ST3" 3.2 0 15
"460" "ST3-1LV" 2 0 2
"461" "ST30" 0 0.5 2
"462" "ST300-1LV" 0 1 1
"463" "ST307" 0.0239410681399632 1.26335174953959 543
"464" "ST307-1LV" 0 1.2 20
"465" "ST307-2LV" 0 1.33333333333333 3
"466" "ST307-3LV" 0 1 2
"467" "ST308-3LV" 0 0 1
"468" "ST309" 0 0.4 10
"469" "ST310" 0 0 2
"470" "ST311-2LV" 0 0 1
"471" "ST317" 0 0 1
"472" "ST319-1LV" 4 0 1
"473" "ST321" 0 0 3
"474" "ST322" 0 0 7
"475" "ST322-1LV" 0 1 1
"476" "ST323" 0.0454545454545455 0.931818181818182 44
"477" "ST323-2LV" 1 1 1
"478" "ST327" 0.5 1 2
"479" "ST327-1LV" 0 0 1
"480" "ST336" 0.789473684210526 0.736842105263158 19
"481" "ST336-1LV" 1 1 5
"482" "ST337" 0 0 2
"483" "ST34" 0 0.294117647058824 17
"484" "ST34-1LV" 1 0 2
"485" "ST34-2LV" 0 0 1
"486" "ST34-3LV" 0 1 1
"487" "ST340" 0.282051282051282 1.17948717948718 39
"488" "ST340-1LV" 0.5 1 2
"489" "ST343-1LV" 1 0 1
"490" "ST344-2LV" 0 0 2
"491" "ST345" 0 0 2
"492" "ST346" 0 1 2
"493" "ST347" 0 0.75 4
"494" "ST347-1LV" 0 0 1
"495" "ST347-2LV" 0 0 3
"496" "ST347-3LV" 0 0 2
"497" "ST348" 0.5 0 2
"498" "ST35" 0.755102040816326 0.244897959183673 49
"499" "ST35-1LV" 1 1 1
"500" "ST35-2LV" 3.33333333333333 0 3
"501" "ST353" 1 0.857142857142857 7
"502" "ST355" 0 0.5 2
"503" "ST355-3LV" 0 0 1
"504" "ST357-1LV" 0 0 1
"505" "ST359" 0 0.333333333333333 3
"506" "ST36" 0.611111111111111 0.944444444444444 18
"507" "ST36-1LV" 0.25 0.75 4
"508" "ST36-2LV" 0 1 2
"509" "ST36-3LV" 0 0 1
"510" "ST360" 0 0 3
"511" "ST360-1LV" 0 0 1
"512" "ST360-2LV" 0 2 1
"513" "ST363-1LV" 0.333333333333333 0.666666666666667 3
"514" "ST364" 0 1 1
"515" "ST368-1LV" 0 0 1
"516" "ST37" 0.348314606741573 0.438202247191011 89
"517" "ST37-1LV" 0 1 1
"518" "ST370" 0 1 1
