Strain,ST,ST_to_plot,CG_to_plot,carb_to_plot,Meropenem_MIC,ompK35_functionality,ompK36_functionality,Colistin_resistance,Col,Omp,Bla_carb
EuSCAPE_UK079,ST107,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_MT008,ST1082,other,other,-,0.12,Functional,Functional,Unknown,-,-,-
EuSCAPE_AT004,ST11,ST11,CG258,-,0.12,Non-functional,Functional,Sensitive,-,OmpK35-40%,-
EuSCAPE_PL010,ST11,ST11,CG258,-,0.12,Functional,Functional,Sensitive,-,-,-
EuSCAPE_PL030,ST11,ST11,CG258,-,0.12,Functional,Functional,Sensitive,-,-,-
EuSCAPE_CZ025,ST11,ST11,CG258,-,0.12,Functional,Functional,Sensitive,-,-,-
EuSCAPE_CZ034,ST11,ST11,CG258,-,0.12,Non-functional,Functional,Sensitive,-,OmpK35-40%,-
EuSCAPE_HU022,ST11,ST11,CG258,-,0.12,Functional,Functional,Sensitive,-,-,-
EuSCAPE_HU031,ST11,ST11,CG258,-,0.12,Functional,Functional,Sensitive,-,-,-
EuSCAPE_HU033,ST11,ST11,CG258,-,0.12,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SK012,ST11,ST11,CG258,-,0.12,Functional,Non-functional,Sensitive,-,OmpK36-0%,-
EuSCAPE_CZ026,ST11,ST11,CG258,-,0.12,Functional,Functional,Sensitive,-,-,-
EuSCAPE_PL057,ST11,ST11,CG258,-,0.25,Functional,Functional,Sensitive,-,-,-
EuSCAPE_EE021,ST11,ST11,CG258,-,0.25,Functional,Functional,Unknown,-,-,-
EuSCAPE_PL012,ST11,ST11,CG258,-,0.25,Functional,Functional,Resistant,-,-,-
EuSCAPE_EE006,ST11,ST11,CG258,-,0.25,Functional,Functional,Unknown,-,-,-
EuSCAPE_HU017,ST11,ST11,CG258,-,0.25,Functional,Functional,Sensitive,-,-,-
EuSCAPE_HU024,ST11,ST11,CG258,-,0.25,Functional,Non-functional,Sensitive,-,OmpK36-11%,-
EuSCAPE_PL004,ST11,ST11,CG258,-,0.25,Functional,Functional,Sensitive,-,-,-
EuSCAPE_EE005,ST11,ST11,CG258,-,0.5,Functional,Functional,Unknown,-,-,-
EuSCAPE_SK044,ST11,ST11,CG258,-,0.5,Functional,Non-functional,Sensitive,-,OmpK36-50%,-
EuSCAPE_CZ032,ST11,ST11,CG258,-,0.5,Functional,Non-functional,Sensitive,-,OmpK36-66%,-
EuSCAPE_ES067,ST11,ST11,CG258,-,0.5,Non-functional,Functional,Sensitive,-,OmpK35-52%,-
EuSCAPE_SK026,ST11,ST11,CG258,-,0.5,Non-functional,Functional,Resistant,-,OmpK35-59%,-
EuSCAPE_PL007,ST11,ST11,CG258,-,1,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SK033,ST11,ST11,CG258,-,1,Non-functional,Non-functional,Sensitive,-,OmpK35-59%;OmpK36-9%,-
EuSCAPE_CZ013,ST11,ST11,CG258,-,1,Functional,Functional,Sensitive,-,-,-
EuSCAPE_FR049,ST11,ST11,CG258,-,1,Functional,Non-functional,Sensitive,-,-,-
EuSCAPE_PL025,ST11,ST11,CG258,-,2,Functional,Non-functional,Sensitive,-,OmpK36-78%,-
