"ST" "mean_vir" "mean_res" "total"
"430" "ST2145" 0 0 1
"431" "ST2147" 1 1 2
"432" "ST215" 0.166666666666667 0.166666666666667 6
"433" "ST215-1LV" 0 0 1
"434" "ST2171" 0 1 1
"435" "ST2174" 3 1 1
"436" "ST218-1LV" 1 0 1
"437" "ST219" 0 1 3
"438" "ST219-1LV" 1 0 1
"439" "ST22" 0.181818181818182 0.727272727272727 22
"440" "ST22-1LV" 0 0 2
"441" "ST220" 0 0 1
"442" "ST220-1LV" 0 0 1
"443" "ST221" 0 1.125 8
"444" "ST222" 0 0 1
"445" "ST2221" 0 0 1
"446" "ST224" 0 1 1
"447" "ST2248" 0 0 1
"448" "ST225" 0 1 1
"449" "ST225-1LV" 0 0.5 2
"450" "ST2258" 0 1 1
"451" "ST2261" 0 0 1
"452" "ST2263" 0 0 1
"453" "ST2267" 0 0 1
"454" "ST2268-1LV" 0 1 1
"455" "ST227" 0 0 1
"456" "ST2273" 0 1 1
"457" "ST2278-2LV" 0 1 1
"458" "ST228" 0 0.666666666666667 6
"459" "ST2280" 0 0 1
"460" "ST2286-1LV" 0 0 1
"461" "ST229" 1 0 1
"462" "ST23" 4.57407407407407 0.157407407407407 108
"463" "ST23-1LV" 4.75 0 8
"464" "ST23-2LV" 0 2 1
"465" "ST230" 0 1 2
"466" "ST230-1LV" 0 0.5 2
"467" "ST231" 2.58333333333333 1.72916666666667 48
"468" "ST2316" 0 1 1
"469" "ST2317" 0 0 6
"470" "ST2318-2LV" 0 0 1
"471" "ST232" 0 0 1
"472" "ST2320-2LV" 4 0 1
"473" "ST2326" 0 0 1
"474" "ST2329-1LV" 0 1 1
"475" "ST2331-2LV" 0 0 1
"476" "ST2333" 0 0 1
"477" "ST2334-2LV" 0 0 1
"478" "ST234" 1 1.22222222222222 18
"479" "ST2351" 0 0 5
"480" "ST2353" 0 0 2
"481" "ST2355" 0 0.75 4
"482" "ST2357" 2 2 1
"483" "ST2357-1LV" 0 0 2
"484" "ST2365-1LV" 0 0 1
"485" "ST237" 0 0 1
"486" "ST237-1LV" 0 0 1
"487" "ST2370" 1 0 2
"488" "ST2375-1LV" 0 0 1
"489" "ST2388" 0 0 1
"490" "ST2388-1LV" 1 1 1
"491" "ST2389-2LV" 0 2 1
"492" "ST239-1LV" 0 0 1
"493" "ST239-2LV" 0 0 1
"494" "ST24-2LV" 1 0 1
"495" "ST24-3LV" 0 1 1
"496" "ST240" 0 0 3
"497" "ST240-1LV" 0 0 1
"498" "ST2401" 0 2 1
"499" "ST241-1LV" 0 1 1
"500" "ST2410-1LV" 0 0.75 4
"501" "ST2412-2LV" 0 1 1
"502" "ST2413-2LV" 0 0 1
"503" "ST2415" 1 0 1
"504" "ST2424-1LV" 0 0 1
"505" "ST2436" 0 0 1
"506" "ST2436-1LV" 0 0 1
"507" "ST244" 0 1.5 2
"508" "ST244-1LV" 0 2 1
"509" "ST2446" 0 0 1
"510" "ST245" 0 0 1
"511" "ST2456-1LV" 0 0 1
"512" "ST2456-2LV" 0 0 1
"513" "ST2457" 0 2 1
"514" "ST2459" 1 0 1
"515" "ST246" 0 0 1
"516" "ST2462-1LV" 0 0 1
"517" "ST247" 0 0.5 4
"518" "ST247-1LV" 0 0 1
"519" "ST248-1LV" 0 0 1
"520" "ST248-2LV" 1 0 1
"521" "ST2481-2LV" 1 1 1
"522" "ST2482-2LV" 0 0 1
"523" "ST249" 1.66666666666667 0 3
"524" "ST2498" 0 0 1
"525" "ST25" 1.38461538461538 0.576923076923077 26
"526" "ST25-1LV" 1.83333333333333 0.166666666666667 6
"527" "ST250" 0 1 1
"528" "ST250-1LV" 0 0 1
"529" "ST2504" 0 0 1
"530" "ST251" 0 0 1
"531" "ST252" 0 0.428571428571429 7
"532" "ST253" 0 0.2 5
"533" "ST253-1LV" 0 0 3
"534" "ST255-1LV" 0 0 1
"535" "ST256" 0 0 2
"536" "ST258" 0.730141458106638 2.04678998911861 919
"537" "ST258-1LV" 0.40625 2 32
"538" "ST258-2LV" 0 2.5 2
"539" "ST26" 0 0 2
"540" "ST26-1LV" 0.0789473684210526 0.815789473684211 38
"541" "ST26-2LV" 0 0 2
"542" "ST260" 5 0 1
"543" "ST264-2LV" 0 0 1
"544" "ST267-1LV" 0 0 1
"545" "ST268" 1.31428571428571 1.02857142857143 35
"546" "ST268-1LV" 0.5 1 2
"547" "ST27" 0 1 12
"548" "ST27-1LV" 0 1 2
"549" "ST273" 0.1 1.4 10
"550" "ST275-2LV" 0 0 1
"551" "ST276" 0 0 1
"552" "ST276-1LV" 5 0 1
"553" "ST277" 0 1.16666666666667 6
"554" "ST277-1LV" 0 0.8 5
"555" "ST278" 0 1.66666666666667 15
"556" "ST278-1LV" 0 0 1
"557" "ST280" 0.166666666666667 1 6
"558" "ST280-1LV" 0 1 1
"559" "ST281" 0 0 2
"560" "ST281-1LV" 0 0 1
"561" "ST283" 0 1 2
"562" "ST283-1LV" 0 0 1
"563" "ST283-3LV" 0 1 1
"564" "ST286-1LV" 0.5 0.5 2
"565" "ST289-1LV" 0 0 1
"566" "ST29" 0.543859649122807 0.56140350877193 57
"567" "ST290" 0.8 0.8 5
"568" "ST290-2LV" 0 0 1
"569" "ST292" 0.5 0.25 4
"570" "ST292-2LV" 0 0 1
"571" "ST293-1LV" 0 0 1
"572" "ST2931" 0 0 1
"573" "ST2931-1LV" 0 1 1
"574" "ST294" 0 0 1
"575" "ST294-1LV" 0 0 1
"576" "ST295" 0 1 1
"577" "ST295-2LV" 0 0 1
"578" "ST297" 0 0.333333333333333 3
"579" "ST298-1LV" 0 1 1
"580" "ST299" 0.8 1.6 5
"581" "ST3" 3.38461538461538 0 13
"582" "ST3-1LV" 2 0 1
"583" "ST30" 0 0.5 2
"584" "ST300-1LV" 0 1 1
"585" "ST301" 0 1 1
"586" "ST305" 3 0 1
"587" "ST307" 0.152173913043478 1.03260869565217 92
"588" "ST307-1LV" 0.25 1.75 4
"589" "ST308-3LV" 0 0 1
"590" "ST309" 0 0.444444444444444 9
"591" "ST310" 0 0 2
"592" "ST311-2LV" 0 0 1
"593" "ST313-1LV" 0 0 1
"594" "ST314-1LV" 0 2 1
"595" "ST317" 0 0 1
"596" "ST319-1LV" 4 0 1
"597" "ST321" 0 0 3
"598" "ST322" 0 0.125 8
"599" "ST322-1LV" 0 1 1
"600" "ST323" 0.0444444444444444 0.911111111111111 45
"601" "ST325-1LV" 1 1 2
"602" "ST327" 0.6 1 5
"603" "ST327-1LV" 0 0 1
"604" "ST334" 0 1 51
"605" "ST334-1LV" 0 0.888888888888889 9
"606" "ST336" 0.935483870967742 0.870967741935484 31
"607" "ST336-1LV" 1 1 5
"608" "ST337" 0 0 2
"609" "ST338-2LV" 0 1 1
"610" "ST34" 0 0.526315789473684 19
"611" "ST34-1LV" 1 0 2
"612" "ST34-2LV" 0 0 1
"613" "ST340" 0.245283018867925 1.41509433962264 53
"614" "ST340-1LV" 0.5 1 2
"615" "ST343-1LV" 1 0 1
"616" "ST344" 0 0 1
"617" "ST344-1LV" 0 0 1
"618" "ST344-2LV" 0 0 3
"619" "ST344-3LV" 0 0 1
"620" "ST345" 0 0 2
"621" "ST346" 0 0 1
"622" "ST346-1LV" 0 0 1
"623" "ST347" 0 0.6 5
"624" "ST347-1LV" 0 0 1
"625" "ST347-2LV" 0 0 3
"626" "ST347-3LV" 0 0 1
"627" "ST348" 0.5 0 2
"628" "ST35" 0.787234042553192 0.382978723404255 47
"629" "ST35-1LV" 1 1 1
"630" "ST35-2LV" 2.5 0 2
"631" "ST353" 1 1 6
"632" "ST355" 0 0.75 4
"633" "ST355-2LV" 0 0 2
"634" "ST355-3LV" 0 0 1
"635" "ST357" 0 0 2
"636" "ST357-1LV" 0 0 3
"637" "ST359" 0 0.25 4
"638" "ST36" 0.789473684210526 1.05263157894737 19
"639" "ST36-1LV" 0.25 0.75 4
"640" "ST36-3LV" 0 0 1
"641" "ST360" 0 0 4
"642" "ST360-1LV" 0 0 1
"643" "ST360-2LV" 0 2 1
"644" "ST363" 0 2 3
"645" "ST363-1LV" 0.333333333333333 0.666666666666667 3
"646" "ST364" 0 1 1
"647" "ST367" 0 0 1
"648" "ST368-1LV" 0 0 1
"649" "ST37" 0.298850574712644 0.735632183908046 87
"650" "ST37-1LV" 0.333333333333333 1.33333333333333 3
"651" "ST372-1LV" 0 0 2
"652" "ST373" 1 0 1
"653" "ST374" 4 0 1
"654" "ST375" 2.2 0 10
"655" "ST376" 0 2 1
"656" "ST377" 1.5 1.5 2
"657" "ST377-1LV" 0 0 1
"658" "ST378" 0 0 3
"659" "ST378-1LV" 0 0 2
"660" "ST379" 0 2 4
"661" "ST38" 0 1.5 4
"662" "ST38-1LV" 0 2 2
"663" "ST380" 4 0 14
"664" "ST380-1LV" 5 0 1
"665" "ST380-3LV" 4 0 1
"666" "ST381" 4 0 2
"667" "ST382" 5 1 1
"668" "ST383" 0 1.25 4
"669" "ST384" 0 1 1
"670" "ST386" 0 0 1
"671" "ST386-3LV" 0 0 1
"672" "ST39" 0.454545454545455 0.545454545454545 11
"673" "ST391" 1 1 3
"674" "ST392" 0 1.72727272727273 11
"675" "ST394" 0.5 1.5 2
"676" "ST395" 0.666666666666667 1.16666666666667 12
"677" "ST397" 0.833333333333333 0.833333333333333 6
"678" "ST399" 0 1 2
"679" "ST4" 0.75 1 4
"680" "ST405" 0.888888888888889 0.777777777777778 9
"681" "ST409" 0 1 2
"682" "ST41-3LV" 0 0 1
"683" "ST412" 0.8 0.2 5
"684" "ST414" 0 0.7 10
"685" "ST415-4LV" 0 0 1
"686" "ST416" 0.25 0.625 8
"687" "ST418" 0 2 2
"688" "ST42" 0 0.9 10
"689" "ST420" 1.33333333333333 0.666666666666667 3
"690" "ST420-1LV" 4 0 1
"691" "ST421" 0 1 2
"692" "ST423" 0 0 1
"693" "ST423-1LV" 1 2 7
"694" "ST426-2LV" 0 0 2
"695" "ST429" 0 1 3
"696" "ST43" 0.230769230769231 0.692307692307692 13
"697" "ST43-1LV" 3 0 2
"698" "ST432" 0 0.333333333333333 3
"699" "ST433-1LV" 0 1 1
"700" "ST435" 3 1 1
"701" "ST435-3LV" 3 0 1
"702" "ST437" 0.238095238095238 1.80952380952381 21
"703" "ST437-1LV" 0 1 1
"704" "ST437-3LV" 0 1 1
"705" "ST439-3LV" 0 0 1
"706" "ST44" 0 0.5 2
"707" "ST442" 0.333333333333333 1.66666666666667 3
"708" "ST443" 0 2 1
"709" "ST443-1LV" 0 0 1
"710" "ST446-3LV" 0 0 1
"711" "ST447-2LV" 0 0 3
"712" "ST447-4LV" 0 0 1
"713" "ST448" 0 0 1
"714" "ST449" 1 0 1
"715" "ST449-1LV" 1 1 1
"716" "ST45" 0.981818181818182 0.672727272727273 55
"717" "ST45-1LV" 0.666666666666667 0.333333333333333 6
"718" "ST45-2LV" 0 0 1
