ST,category,value
ST16,Asia_S,0
ST101,Asia_S,0.011673152
ST307,Asia_S,0.023346304
ST512,Asia_S,0
ST15,Asia_S,0.209876543
ST11,Asia_S,0.011802575
ST258,Asia_S,0
ST661,Asia_W,0
ST65,Asia_W,0
ST111,Asia_W,0.108108108
ST392,Asia_W,0.081081081
ST39,Asia_W,0.026315789
ST336,Asia_W,0.076923077
ST13,Asia_W,0.1
ST874,Asia_W,0
ST3128,Asia_W,0
ST36,Asia_W,0.086956522
ST152,Asia_W,0
ST395,Asia_W,0.212765957
ST25,Asia_W,0.01754386
ST268,Asia_W,0
ST86,Asia_W,0
ST34,Asia_W,0
ST323,Asia_W,0
ST405,Asia_W,0.054794521
ST20,Asia_W,0.026315789
ST437,Asia_W,0
ST48,Asia_W,0.022988506
ST29,Asia_W,0.02173913
ST35,Asia_W,0.097826087
ST340,Asia_W,0.010204082
ST231,Asia_W,0
ST17,Asia_W,0.055555556
ST45,Asia_W,0.053571429
ST37,Asia_W,0.034883721
ST14,Asia_W,0.04519774
ST23,Asia_W,0.010638298
ST147,Asia_W,0.05106383
ST16,Asia_W,0.031620553
ST101,Asia_W,0.073929961
ST307,Asia_W,0.019455253
ST512,Asia_W,0.125340599
ST15,Asia_W,0.047325103
ST11,Asia_W,0.005364807
ST258,Asia_W,0.005473026
ST661,Australia_NZ,0.272727273
ST65,Australia_NZ,0
ST111,Australia_NZ,0.297297297
ST392,Australia_NZ,0
ST39,Australia_NZ,0.052631579
ST336,Australia_NZ,0.025641026
ST13,Australia_NZ,0.05
ST874,Australia_NZ,0
ST3128,Australia_NZ,0
ST36,Australia_NZ,0.065217391
ST152,Australia_NZ,0.063829787
ST395,Australia_NZ,0
ST25,Australia_NZ,0.035087719
ST268,Australia_NZ,0.05
ST86,Australia_NZ,0.283333333
ST34,Australia_NZ,0.032258065
ST323,Australia_NZ,0.492307692
ST405,Australia_NZ,0
ST20,Australia_NZ,0.157894737
ST437,Australia_NZ,0.012987013
ST48,Australia_NZ,0.022988506
ST29,Australia_NZ,0.163043478
ST35,Australia_NZ,0.108695652
ST340,Australia_NZ,0.102040816
ST231,Australia_NZ,0.0625
ST17,Australia_NZ,0.027777778
ST45,Australia_NZ,0.053571429
ST37,Australia_NZ,0.081395349
ST14,Australia_NZ,0.02259887
ST23,Australia_NZ,0.037234043
ST147,Australia_NZ,0.004255319
ST16,Australia_NZ,0
ST101,Australia_NZ,0.003891051
ST307,Australia_NZ,0
ST512,Australia_NZ,0
ST15,Australia_NZ,0.008230453
ST11,Australia_NZ,0
ST258,Australia_NZ,0.039093041
ST661,Europe_E,0
ST65,Europe_E,0.028571429
ST111,Europe_E,0
ST392,Europe_E,0.027027027
ST39,Europe_E,0
ST336,Europe_E,0.076923077
ST13,Europe_E,0
ST874,Europe_E,0
ST3128,Europe_E,0
ST36,Europe_E,0
ST152,Europe_E,0.127659574
ST395,Europe_E,0.212765957
ST25,Europe_E,0.052631579
ST268,Europe_E,0.016666667
ST86,Europe_E,0.083333333
ST34,Europe_E,0
ST323,Europe_E,0.061538462
ST405,Europe_E,0.054794521
ST20,Europe_E,0.026315789
ST437,Europe_E,0
ST48,Europe_E,0
ST29,Europe_E,0
ST35,Europe_E,0.043478261
ST340,Europe_E,0.06122449
ST231,Europe_E,0
ST17,Europe_E,0.013888889
ST45,Europe_E,0.023809524
ST37,Europe_E,0.023255814
ST14,Europe_E,0.005649718
ST23,Europe_E,0.095744681
ST147,Europe_E,0.068085106
ST16,Europe_E,0.023715415
ST101,Europe_E,0.124513619
ST307,Europe_E,0.011673152
ST512,Europe_E,0
ST15,Europe_E,0.102880658
ST11,Europe_E,0.079399142
ST258,Europe_E,0.002345582
ST661,Europe_N,0.212121212
ST65,Europe_N,0.028571429
ST111,Europe_N,0.081081081
ST392,Europe_N,0.054054054
ST39,Europe_N,0.105263158
ST336,Europe_N,0.282051282
ST13,Europe_N,0.1
ST874,Europe_N,0.95
ST3128,Europe_N,0
ST36,Europe_N,0.02173913
ST152,Europe_N,0.021276596
ST395,Europe_N,0.063829787
ST25,Europe_N,0.140350877
ST268,Europe_N,0.5
ST86,Europe_N,0.066666667
ST34,Europe_N,0.048387097
ST323,Europe_N,0.046153846
ST405,Europe_N,0.068493151
ST20,Europe_N,0.105263158
ST437,Europe_N,0.025974026
ST48,Europe_N,0.195402299
ST29,Europe_N,0.152173913
ST35,Europe_N,0.130434783
ST340,Europe_N,0.081632653
ST231,Europe_N,0.044642857
ST17,Europe_N,0.125
ST45,Europe_N,0.077380952
ST37,Europe_N,0.063953488
ST14,Europe_N,0.101694915
ST23,Europe_N,0.106382979
ST147,Europe_N,0.136170213
ST16,Europe_N,0.063241107
ST101,Europe_N,0.143968872
ST307,Europe_N,0.186770428
ST512,Europe_N,0.002724796
ST15,Europe_N,0.090534979
ST11,Europe_N,0.022532189
ST258,Europe_N,0.021892103
ST661,Europe_S,0.121212121
ST65,Europe_S,0.057142857
ST111,Europe_S,0.054054054
ST392,Europe_S,0.081081081
ST39,Europe_S,0.131578947
ST336,Europe_S,0
ST13,Europe_S,0.025
ST874,Europe_S,0
ST3128,Europe_S,0
ST36,Europe_S,0.130434783
ST152,Europe_S,0.021276596
ST395,Europe_S,0.085106383
ST25,Europe_S,0.070175439
ST268,Europe_S,0.066666667
ST86,Europe_S,0.05
ST34,Europe_S,0.016129032
ST323,Europe_S,0.107692308
ST405,Europe_S,0.315068493
ST20,Europe_S,0.118421053
ST437,Europe_S,0.584415584
ST48,Europe_S,0.022988506
ST29,Europe_S,0.141304348
ST35,Europe_S,0.206521739
ST340,Europe_S,0.244897959
ST231,Europe_S,0.044642857
ST17,Europe_S,0.097222222
ST45,Europe_S,0.255952381
ST37,Europe_S,0.11627907
ST14,Europe_S,0.079096045
ST23,Europe_S,0.010638298
ST147,Europe_S,0.136170213
ST16,Europe_S,0.035573123
ST101,Europe_S,0.276264591
ST307,Europe_S,0.13229572
ST512,Europe_S,0.651226158
ST15,Europe_S,0.154320988
ST11,Europe_S,0.06223176
ST258,Europe_S,0.12275215
ST661,Europe_W,0.090909091
ST65,Europe_W,0.057142857
ST111,Europe_W,0.054054054
ST392,Europe_W,0.135135135
ST39,Europe_W,0.026315789
ST336,Europe_W,0
ST13,Europe_W,0.225
ST874,Europe_W,0
ST3128,Europe_W,1
ST36,Europe_W,0.086956522
ST152,Europe_W,0.021276596
ST395,Europe_W,0.14893617
ST25,Europe_W,0.070175439
ST268,Europe_W,0.016666667
ST86,Europe_W,0.033333333
ST34,Europe_W,0.016129032
ST323,Europe_W,0.092307692
ST405,Europe_W,0.315068493
ST20,Europe_W,0.144736842
ST437,Europe_W,0.051948052
ST48,Europe_W,0.022988506
ST29,Europe_W,0.043478261
ST35,Europe_W,0.043478261
ST340,Europe_W,0
ST231,Europe_W,0.071428571
ST17,Europe_W,0.027777778
ST45,Europe_W,0.083333333
ST37,Europe_W,0.081395349
ST14,Europe_W,0.09039548
ST23,Europe_W,0.074468085
ST147,Europe_W,0.136170213
ST16,Europe_W,0.011857708
ST101,Europe_W,0.097276265
ST307,Europe_W,0.190661479
ST512,Europe_W,0.160762943
ST15,Europe_W,0.072016461
ST11,Europe_W,0.040772532
ST258,Europe_W,0.02814699
ST661,unknown_location,0.03030303
ST65,unknown_location,0.085714286
ST111,unknown_location,0.081081081
ST392,unknown_location,0.216216216
ST39,unknown_location,0.184210526
ST336,unknown_location,0
ST13,unknown_location,0.075
ST874,unknown_location,0
ST3128,unknown_location,0
ST36,unknown_location,0.108695652
ST152,unknown_location,0.127659574
ST395,unknown_location,0.021276596
ST25,unknown_location,0.01754386
ST268,unknown_location,0.033333333
ST86,unknown_location,0.116666667
ST34,unknown_location,0.580645161
ST323,unknown_location,0.030769231
ST405,unknown_location,0.109589041
ST20,unknown_location,0.013157895
ST437,unknown_location,0
ST48,unknown_location,0.103448276
ST29,unknown_location,0.086956522
ST35,unknown_location,0.043478261
ST340,unknown_location,0.040816327
ST231,unknown_location,0.008928571
ST17,unknown_location,0.034722222
ST45,unknown_location,0.071428571
ST37,unknown_location,0.075581395
ST14,unknown_location,0.079096045
ST23,unknown_location,0.053191489
ST147,unknown_location,0.034042553
ST16,unknown_location,0.023715415
ST101,unknown_location,0.011673152
ST307,unknown_location,0.140077821
ST512,unknown_location,0.032697548
ST15,unknown_location,0.041152263
ST11,unknown_location,0.041845494
ST258,unknown_location,0.070367475
ST661,human,0.96969697
ST65,human,0.857142857
ST111,human,0.864864865
ST392,human,0.783783784
ST39,human,0.763157895
ST336,human,1
ST13,human,0.875
ST874,human,0.825
ST3128,human,0
ST36,human,0.913043478
ST152,human,0.893617021
ST395,human,0.893617021
ST25,human,0.98245614
ST268,human,0.9
ST86,human,0.716666667
ST34,human,0.790322581
ST323,human,0.953846154
ST405,human,0.890410959
ST20,human,0.907894737
ST437,human,0.961038961
ST48,human,0.931034483
ST29,human,0.891304348
ST35,human,0.847826087
ST340,human,0.928571429
ST231,human,0.919642857
